[Sat Feb 06 16:11:24.529053 2021] [core:alert] [pid 9966:tid 123145427161088] [client 127.0.0.1:57223] /Users/thierrycouilleault/Local Sites/sitesurmesure/app/public/wp-content/themes/.htaccess: RewriteCond: bad flag delimiters, referer: http://sitesurmesure.local/wp-admin/themes.php
[Sat Feb 06 16:11:24.528006 2021] [core:alert] [pid 10319:tid 123145437356032] [client 127.0.0.1:57222] /Users/thierrycouilleault/Local Sites/sitesurmesure/app/public/wp-content/themes/.htaccess: RewriteCond: bad flag delimiters, referer: http://sitesurmesure.local/wp-admin/themes.php
[Sat Feb 06 16:11:24.528128 2021] [core:alert] [pid 10319:tid 123145426624512] [client 127.0.0.1:57224] /Users/thierrycouilleault/Local Sites/sitesurmesure/app/public/wp-content/themes/.htaccess: RewriteCond: bad flag delimiters, referer: http://sitesurmesure.local/wp-admin/themes.php
[Sat Feb 06 16:11:25.395397 2021] [core:alert] [pid 10319:tid 123145427697664] [client 127.0.0.1:57226] /Users/thierrycouilleault/Local Sites/sitesurmesure/app/public/wp-content/themes/.htaccess: RewriteCond: bad flag delimiters, referer: http://sitesurmesure.local/wp-admin/themes.php
[Sat Feb 06 16:11:25.395548 2021] [core:alert] [pid 9966:tid 123145428234240] [client 127.0.0.1:57227] /Users/thierrycouilleault/Local Sites/sitesurmesure/app/public/wp-content/themes/.htaccess: RewriteCond: bad flag delimiters, referer: http://sitesurmesure.local/wp-admin/themes.php
[Sat Feb 06 16:11:25.396064 2021] [core:alert] [pid 9964:tid 123145429843968] [client 127.0.0.1:57228] /Users/thierrycouilleault/Local Sites/sitesurmesure/app/public/wp-content/themes/.htaccess: RewriteCond: bad flag delimiters, referer: http://sitesurmesure.local/wp-admin/themes.php
[Sat Feb 06 16:19:52.605009 2021] [core:alert] [pid 10319:tid 123145434673152] [client 127.0.0.1:57352] /Users/thierrycouilleault/Local Sites/sitesurmesure/app/public/wp-content/themes/.htaccess: RewriteCond: bad flag delimiters, referer: http://sitesurmesure.local/wp-admin/themes.php
[Sat Feb 06 16:19:52.605899 2021] [core:alert] [pid 10319:tid 123145433600000] [client 127.0.0.1:57351] /Users/thierrycouilleault/Local Sites/sitesurmesure/app/public/wp-content/themes/.htaccess: RewriteCond: bad flag delimiters, referer: http://sitesurmesure.local/wp-admin/themes.php
[Sat Feb 06 16:19:52.609607 2021] [core:alert] [pid 10319:tid 123145425551360] [client 127.0.0.1:57355] /Users/thierrycouilleault/Local Sites/sitesurmesure/app/public/wp-content/themes/.htaccess: RewriteCond: bad flag delimiters, referer: http://sitesurmesure.local/wp-admin/themes.php
[Sat Feb 06 16:19:52.610485 2021] [core:alert] [pid 10319:tid 123145426087936] [client 127.0.0.1:57356] /Users/thierrycouilleault/Local Sites/sitesurmesure/app/public/wp-content/themes/.htaccess: RewriteCond: bad flag delimiters, referer: http://sitesurmesure.local/wp-admin/themes.php
[Sat Feb 06 16:19:52.849380 2021] [core:alert] [pid 10319:tid 123145427161088] [client 127.0.0.1:57357] /Users/thierrycouilleault/Local Sites/sitesurmesure/app/public/wp-content/themes/.htaccess: RewriteCond: bad flag delimiters, referer: http://sitesurmesure.local/wp-admin/themes.php
[Sat Feb 06 16:19:52.848719 2021] [core:alert] [pid 10319:tid 123145428234240] [client 127.0.0.1:57358] /Users/thierrycouilleault/Local Sites/sitesurmesure/app/public/wp-content/themes/.htaccess: RewriteCond: bad flag delimiters, referer: http://sitesurmesure.local/wp-admin/themes.php
[Sat Feb 06 16:19:52.859539 2021] [core:alert] [pid 10319:tid 123145429843968] [client 127.0.0.1:57359] /Users/thierrycouilleault/Local Sites/sitesurmesure/app/public/wp-content/themes/.htaccess: RewriteCond: bad flag delimiters, referer: http://sitesurmesure.local/wp-admin/themes.php
[Sat Feb 06 16:19:52.859583 2021] [core:alert] [pid 10319:tid 123145424478208] [client 127.0.0.1:57360] /Users/thierrycouilleault/Local Sites/sitesurmesure/app/public/wp-content/themes/.htaccess: RewriteCond: bad flag delimiters, referer: http://sitesurmesure.local/wp-admin/themes.php
